station_european_code,component_code,component_name,component_caption,statistics_year,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P50,50 percentile,"5,831","95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Mean,annual mean,"5,928","95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P95,95 percentile,"10,035","95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P98,98 percentile,"11,807","95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Max,maximum,"15,092","95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Max4,4th highest value,"12,267","95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Days(c > 125),days with c > 125 ug/m3,0,"95,890",350
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P50,50 percentile,"5,630","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Mean,annual mean,"5,933","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P95,95 percentile,"10,920","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P98,98 percentile,"13,170","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,P99_9,99.9 percentile,"33,780","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Max,maximum,"46,660","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Max25,25th highest value,"21,240","92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2009,Hours(c > 350),hours with c > 350 ug/m3,0,"92,237",8080
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P50,50 percentile,"6,173","92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Mean,annual mean,"6,405","92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P95,95 percentile,"11,725","92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P98,98 percentile,"13,690","92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Max,maximum,"17,909","92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Max4,4th highest value,"14,359","92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Days(c > 125),days with c > 125 ug/m3,0,"92,877",339
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P50,50 percentile,"6,010","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Mean,annual mean,"6,396","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P95,95 percentile,"12,180","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P98,98 percentile,"14,790","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,P99_9,99.9 percentile,"30,220","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Max,maximum,"41,700","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Max25,25th highest value,"23,150","89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2010,Hours(c > 350),hours with c > 350 ug/m3,0,"89,840",7870
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P50,50 percentile,"8,347","97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Mean,annual mean,"9,529","97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P95,95 percentile,"17,209","97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P98,98 percentile,"24,303","97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Max,maximum,"39,180","97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Max4,4th highest value,"28,138","97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Days(c > 125),days with c > 125 ug/m3,0,"97,260",355
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P50,50 percentile,"7,920","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Mean,annual mean,"9,540","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P95,95 percentile,"20,570","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P98,98 percentile,"28,660","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,P99_9,99.9 percentile,"68,830","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Max,maximum,"94,680","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Max25,25th highest value,"53,500","93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2011,Hours(c > 350),hours with c > 350 ug/m3,0,"93,596",8199
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P50,50 percentile,"6,271","98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Mean,annual mean,"7,441","98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P95,95 percentile,"14,267","98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P98,98 percentile,"19,237","98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Max,maximum,"51,922","98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Max4,4th highest value,"30,290","98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Days(c > 125),days with c > 125 ug/m3,0,"98,634",361
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P50,50 percentile,"5,790","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Mean,annual mean,"7,434","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P95,95 percentile,"15,880","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P98,98 percentile,"24,560","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,P99_9,99.9 percentile,"94,160","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Max,maximum,"156,590","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Max25,25th highest value,"61,690","94,547",8305
ALBA IULIA,1,Sulphur dioxide (air),SO2,2012,Hours(c > 350),hours with c > 350 ug/m3,0,"94,547",8305
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,P50,50 percentile,"21,980","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,Mean,annual mean,"24,406","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,P95,95 percentile,"49,420","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,P98,98 percentile,"62,320","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,Max,maximum,"91,580","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,Max36,36th highest value,"42,340","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,Max8,8th highest value,"62,320","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2009,Days(c > 50),days with c > 50 ug/m3,"18,000","97,260",355
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,P50,50 percentile,"19,080","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,Mean,annual mean,"21,346","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,P95,95 percentile,"48,700","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,P98,98 percentile,"49,240","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,Max,maximum,"49,970","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,Max36,36th highest value,"42,520","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,Max8,8th highest value,"49,240","98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2010,Days(c > 50),days with c > 50 ug/m3,0,"98,630",360
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,P50,50 percentile,"23,800","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,Mean,annual mean,"26,088","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,P95,95 percentile,"49,420","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,P98,98 percentile,"49,700","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,Max,maximum,"49,880","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,Max36,36th highest value,"49,240","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,Max8,8th highest value,"49,700","96,712",353
ALBA IULIA,5,Particulate matter < 10 µm (aerosol),PM10,2011,Days(c > 50),days with c > 50 ug/m3,0,"96,712",353
ALBA IULIA,7,Ozone (air),O3,2009,Mean,annual mean,"43,459","98,356",359
ALBA IULIA,7,Ozone (air),O3,2009,P50,50 percentile,"46,123","98,356",359
ALBA IULIA,7,Ozone (air),O3,2009,P95,95 percentile,"90,191","98,356",359
ALBA IULIA,7,Ozone (air),O3,2009,P98,98 percentile,"97,184","98,356",359
ALBA IULIA,7,Ozone (air),O3,2009,Max,maximum,"107,566","98,356",359
ALBA IULIA,7,Ozone (air),O3,2009,Mean,annual mean,"67,895","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,P50,50 percentile,"74,954","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,P95,95 percentile,"130,845","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,P98,98 percentile,"138,411","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,Max,maximum,"157,296","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,Max26,26th highest value,"128,892","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,Days(c > 120),days with c > 120 ug/m3,"38,000","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,SOMO35,"SOMO35 (c > 70 ug/m3, year,corrected)","6,448,000","97,808",357
ALBA IULIA,7,Ozone (air),O3,2009,P50,50 percentile,"32,700","94,623",8289
ALBA IULIA,7,Ozone (air),O3,2009,Mean,annual mean,"43,458","94,623",8289
ALBA IULIA,7,Ozone (air),O3,2009,P95,95 percentile,"118,000","94,623",8289
ALBA IULIA,7,Ozone (air),O3,2009,P98,98 percentile,"129,480","94,623",8289
ALBA IULIA,7,Ozone (air),O3,2009,Max,maximum,"170,410","94,623",8289
ALBA IULIA,7,Ozone (air),O3,2009,AOT40,"AOT40 (c > 80 ug/m3,3 months,corrected)","17,932,000","93,841",1036
ALBA IULIA,7,Ozone (air),O3,2010,P50,50 percentile,"24,204","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,Mean,annual mean,"24,526","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,P95,95 percentile,"41,145","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,P98,98 percentile,"43,683","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,Max,maximum,"57,266","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,P50,50 percentile,"36,967","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,Mean,annual mean,"37,295","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,P95,95 percentile,"61,089","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,P98,98 percentile,"66,456","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,Max,maximum,"78,527","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,Max26,26th highest value,"59,073","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,Days(c > 120),days with c > 120 ug/m3,0,"96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,SOMO35,"SOMO35 (c > 70 ug/m3, year,corrected)","28,000","96,164",351
ALBA IULIA,7,Ozone (air),O3,2010,P50,50 percentile,"21,370","93,516",8192
ALBA IULIA,7,Ozone (air),O3,2010,Mean,annual mean,"24,578","93,516",8192
ALBA IULIA,7,Ozone (air),O3,2010,P95,95 percentile,"55,100","93,516",8192
ALBA IULIA,7,Ozone (air),O3,2010,P98,98 percentile,"61,890","93,516",8192
ALBA IULIA,7,Ozone (air),O3,2010,Max,maximum,"87,010","93,516",8192
ALBA IULIA,7,Ozone (air),O3,2010,AOT40,"AOT40 (c > 80 ug/m3,3 months,corrected)","23,000","91,757",1013
ALBA IULIA,7,Ozone (air),O3,2011,Mean,annual mean,"25,348","97,534",356
ALBA IULIA,7,Ozone (air),O3,2011,P50,50 percentile,"25,679","97,534",356
ALBA IULIA,7,Ozone (air),O3,2011,P95,95 percentile,"41,034","97,534",356
ALBA IULIA,7,Ozone (air),O3,2011,P98,98 percentile,"44,065","97,534",356
ALBA IULIA,7,Ozone (air),O3,2011,Max,maximum,"51,178","97,534",356
ALBA IULIA,7,Ozone (air),O3,2011,P50,50 percentile,"36,519","97,260",355
ALBA IULIA,7,Ozone (air),O3,2011,Mean,annual mean,"36,943","97,260",355
